File_name	HPP	NHPP	TPP	47.8	41.2	37.71	33.9	27.82	23.03	20.44
File10.log	18418.316	18456.845	17250.06	17419.7777711707	17438.5051880035	17263.9647217163	17271.3591688432	17349.8139736611	17321.5321439405	17252.1602068561
File1.log	18506.528	18486.811	17362.396	17526.1799249321	17539.8091433228	17381.6496024356	17375.5334890403	17461.1845541082	17390.4254973448	17393.943711169
File2.log	18397.684	18416.279	17390.841	17553.896058614	17529.7748834527	17406.5626327465	17401.0064312198	17472.5834339136	17429.7211546536	17406.8371131254
File3.log	18548.776	18517.93	17407.536	17560.612496983	17566.7014228513	17421.8598034142	17427.3811813903	17509.0022001425	17468.0574308577	17412.4864874809
File4.log	18436.907	18441.081	17322.058	17484.8761075988	17456.6300173016	17329.6918766514	17335.2950782588	17417.1035675178	17356.9354415906	17343.2654387581
File5.log	18551.404	18554.1	17436.566	17594.2313037892	17600.0295122962	17451.3309938089	17451.2025992856	17511.0032607886	17491.3682409509	17455.8377210117
File6.log	18488.315	18511.336	17376.099	17547.0929551169	17553.8890784309	17395.2322883135	17391.9481850945	17463.465358927	17456.9548823203	17377.2351225203
File7.log	18618.081	18637.762	17477.246	17617.0441691864	17655.6300623831	17497.1744905101	17496.2258894028	17563.8907646992	17550.0001524656	17483.7951447596
File8.log	18483.24	18478.276	17396.067	17566.6955942825	17572.5278911826	17413.8470889683	17405.8673916159	17482.34243317	17430.1002100384	17416.3793515549
File9.log	18378.168	18381.935	17226.418	17424.2526845357	17415.9603780622	17241.5233693254	17244.4813627488	17320.1461561795	17278.7426048824	17235.8699149397
mean	18482.7419	18488.2355	17364.5287	17529.4659066209	17532.9457577287	17380.283686789	17380.03007769	17455.0535703107	17417.3837759045	17377.7810212176
