genus,tribe,subfamily,family
?_Eocoleophorus,,,Glyptodontidae
Archaeutatus,Euphractini,Euphractinae,Dasypodidae
Astegotherium,Astegotheriini,Dasypodinae,Dasypodidae
Barrancatatus,Eutatini,Euphractinae,Dasypodidae
Clypeotherium,,Glyptatelinae,Glyptodontidae
Deseadognathus,,,Megalonychidae
Eocoleophorus,,,
Eucholoeops,,,Megalonychidae
Glyptatelus,,Glyptatelinae,Glyptodontidae
Hapalops,,,Megalonychidae
Kuntinaru,,Tolypeutinae,Dasypodidae
Lomaphorelus,,,Glyptodontidae
Lumbreratherium,,,Dasypodidae
Machlydotherium,,,
Mazzoniphractus,Euphractini,Euphractinae,Dasypodidae
Meteutatus,Eutatini,Euphractinae,Dasypodidae
Octodontotherium,,,Mylodontidae
Palaeopeltis,,,Palaeopeltidae
Parastegosimpsonia,Astegotheriini,Dasypodinae,Dasypodidae
Paroctodontotherium,,Mylodontinae,Mylodontidae
Parutaetus,Euphractini,Euphractinae,Dasypodidae
Peltephilus,,,Peltephilidae
Proeocoleophorus,,,
Prostegotherium,Astegotheriini,Dasypodinae,Dasypodidae
Prozaedyus,Euphractini,Euphractinae,Dasypodidae
Pseudeutatus,Euphractini,Euphractinae,Dasypodidae
Pseudoglyptodon,,,
Pseudostegotherium,,,Dasypodidae
Pucatherium,,,Dasypodidae
Punatherium,,,Dasypodidae
Riostegotherium,Astegotheriini,Dasypodinae,Dasypodidae
Ronwolffia,,,Peltephilidae
Saltatherium,,,
Similhapalops,,,
Stegosimpsonia,Astegotheriini,Dasypodinae,Dasypodidae
Stenotatus,Eutatini,Euphractinae,Dasypodidae
tegotherium,,,
Utaetus,Utaetini,Euphractinae,Dasypodidae
Vassallia,,,Pampatheriidae
Yuruatherium,,,
